Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,Image
Disraeli,1929-1930,3rd Academy Awards,11/5/30,Best Actor,X,George Arliss,4/10/1868,62,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MDUxMzMwNF5BMl5BanBnXkFtZTgwOTI3NTYwMjE@._V1_UY317_CR16,0,214,317_AL_.jpg"
The Green Goddess,1929-1930,3rd Academy Awards,11/5/30,Best Actor,,George Arliss,4/10/1868,62,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MDUxMzMwNF5BMl5BanBnXkFtZTgwOTI3NTYwMjE@._V1_UY317_CR16,0,214,317_AL_.jpg"
The Big House,1929-1930,3rd Academy Awards,11/5/30,Best Actor,,Wallace Beery,4/1/1885,45,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxOTI0OTM1NF5BMl5BanBnXkFtZTYwNjUwMTM2._V1_UY317_CR16,0,214,317_AL_.jpg"
The Big Pond,1929-1930,3rd Academy Awards,11/5/30,Best Actor,,Maurice Chevalier,9/12/1888,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NTgwOTU0Ml5BMl5BanBnXkFtZTYwNzA3MzU2._V1_UX214_CR0,0,214,317_AL_.jpg"
The Love Parade,1929-1930,3rd Academy Awards,11/5/30,Best Actor,,Maurice Chevalier,9/12/1888,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NTgwOTU0Ml5BMl5BanBnXkFtZTYwNzA3MzU2._V1_UX214_CR0,0,214,317_AL_.jpg"
Bulldog Drummond,1929-1930,3rd Academy Awards,11/5/30,Best Actor,,Ronald Colman,2/9/1891,39,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3ODU4ODY4NF5BMl5BanBnXkFtZTYwNTQxMTM2._V1_UY317_CR18,0,214,317_AL_.jpg"
Condemned,1929-1930,3rd Academy Awards,11/5/30,Best Actor,,Ronald Colman,2/9/1891,39,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3ODU4ODY4NF5BMl5BanBnXkFtZTYwNTQxMTM2._V1_UY317_CR18,0,214,317_AL_.jpg"
The Rogue Song,1929-1930,3rd Academy Awards,11/5/30,Best Actor,,Lawrence Tibbett,11/16/1896,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjk4OTgxNmQtNjZiNS00YzRhLTgxNjEtMGJlZWVlZGM2YjQxXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR20,0,214,317_AL_.jpg"
The Divorcee,1929-1930,3rd Academy Awards,11/5/30,Best Actress,X,Norma Shearer,8/10/02,28,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4OTI0MjU5NV5BMl5BanBnXkFtZTYwNjYxNjU2._V1_UY317_CR16,0,214,317_AL_.jpg"
Sarah and Son,1929-1930,3rd Academy Awards,11/5/30,Best Actress,,Ruth Chatterton,12/24/1892,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0Nzk3NDA4NjdeQTJeQWpwZ15BbWU2MDM0MTEzNg@@._V1_UY317_CR16,0,214,317_AL_.jpg"
The Trespasser,1929-1930,3rd Academy Awards,11/5/30,Best Actress,,Gloria Swanson,3/27/1899,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzIxOTUwOV5BMl5BanBnXkFtZTYwNDM5MTI2._V1_UY317_CR4,0,214,317_AL_.jpg"
Their Own Desire,1929-1930,3rd Academy Awards,11/5/30,Best Actress,,Norma Shearer,8/10/02,28,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4OTI0MjU5NV5BMl5BanBnXkFtZTYwNjYxNjU2._V1_UY317_CR16,0,214,317_AL_.jpg"
The Devil's Holiday,1929-1930,3rd Academy Awards,11/5/30,Best Actress,,Nancy Carroll,11/19/03,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMjQzMzM5Ml5BMl5BanBnXkFtZTgwNjUyODQ1ODE@._V1_UY317_CR104,0,214,317_AL_.jpg"
Anna Christie,1929-1930,3rd Academy Awards,11/5/30,Best Actress,,Greta Garbo,9/18/05,25,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0MDU3ODQ0MF5BMl5BanBnXkFtZTgwNzY4NDQ3MTE@._V1_UY317_CR18,0,214,317_AL_.jpg"
Romance,1929-1930,3rd Academy Awards,11/5/30,Best Actress,,Greta Garbo,9/18/05,25,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0MDU3ODQ0MF5BMl5BanBnXkFtZTgwNzY4NDQ3MTE@._V1_UY317_CR18,0,214,317_AL_.jpg"
A Free Soul,1930-1931,4th Academy Awards,11/10/31,Best Actor,X,Lionel Barrymore,4/28/1878,53,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NzY5MTgwNV5BMl5BanBnXkFtZTYwMjc4NjQ2._V1_UY317_CR6,0,214,317_AL_.jpg"
The Front Page,1930-1931,4th Academy Awards,11/10/31,Best Actor,,Adolphe Menjou,2/18/1890,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NzgyMTE3M15BMl5BanBnXkFtZTYwNTIwMTM2._V1_UY317_CR23,0,214,317_AL_.jpg"
Cimarron,1930-1931,4th Academy Awards,11/10/31,Best Actor,,Richard Dix,7/18/1893,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NDY3ODg2Ml5BMl5BanBnXkFtZTcwNTA0MTg2OA@@._V1_UY317_CR17,0,214,317_AL_.jpg"
The Royal Family of Broadway,1930-1931,4th Academy Awards,11/10/31,Best Actor,,Fredric March,8/31/1897,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTI3MDEyMzg2OF5BMl5BanBnXkFtZTYwNzA2MjI2._V1_UY317_CR29,0,214,317_AL_.jpg"
Skippy,1930-1931,4th Academy Awards,11/10/31,Best Actor,,Jackie Cooper,9/15/22,9,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNjYwOTY4Ml5BMl5BanBnXkFtZTcwNjU0MDYwMw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Min and Bill,1930-1931,4th Academy Awards,11/10/31,Best Actress,X,Marie Dressler,11/9/1868,63,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNjgxODQ0N15BMl5BanBnXkFtZTYwNjI3NjQ2._V1_UY317_CR0,0,214,317_AL_.jpg"
Cimarron,1930-1931,4th Academy Awards,11/10/31,Best Actress,,Irene Dunne,12/20/1898,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzA1NTg0NzU2MV5BMl5BanBnXkFtZTYwNjU5OTU2._V1_UY317_CR21,0,214,317_AL_.jpg"
Morocco,1930-1931,4th Academy Awards,11/10/31,Best Actress,,Marlene Dietrich,12/27/01,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NTcyMTM5OF5BMl5BanBnXkFtZTYwOTkzMDU2._V1_UY317_CR18,0,214,317_AL_.jpg"
Holiday,1930-1931,4th Academy Awards,11/10/31,Best Actress,,Ann Harding,8/7/02,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTAyYjIxMWUtN2E0Mi00ZWUzLWJjZjgtODQxMDFjMjljM2EzXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR46,0,214,317_AL_.jpg"
A Free Soul,1930-1931,4th Academy Awards,11/10/31,Best Actress,,Norma Shearer,8/10/02,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4OTI0MjU5NV5BMl5BanBnXkFtZTYwNjYxNjU2._V1_UY317_CR16,0,214,317_AL_.jpg"
The Champ,1931-1932,5th Academy Awards,11/18/32,Best Actor,X,Wallace Beery,4/1/1885,47,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxOTI0OTM1NF5BMl5BanBnXkFtZTYwNjUwMTM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Dr. Jekyll and Mr. Hyde,1931-1932,5th Academy Awards,11/18/32,Best Actor,X,Fredric March,8/31/1897,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTI3MDEyMzg2OF5BMl5BanBnXkFtZTYwNzA2MjI2._V1_UY317_CR29,0,214,317_AL_.jpg"
The Guardsman,1931-1932,5th Academy Awards,11/18/32,Best Actor,,Alfred Lunt,8/12/1892,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDVlNTIwNzQtZDRlNy00ZmE5LTliMDYtMjhmMmUwMDE1ZDRhXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR3,0,214,317_AL_.jpg"
The Sin of Madelon Claudet,1931-1932,5th Academy Awards,11/18/32,Best Actress,X,Helen Hayes,10/10/00,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMDgxODAzNF5BMl5BanBnXkFtZTYwMDczNDM2._V1_UY317_CR14,0,214,317_AL_.jpg"
Emma,1931-1932,5th Academy Awards,11/18/32,Best Actress,,Marie Dressler,11/9/1868,64,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNjgxODQ0N15BMl5BanBnXkFtZTYwNjI3NjQ2._V1_UY317_CR0,0,214,317_AL_.jpg"
The Guardsman,1931-1932,5th Academy Awards,11/18/32,Best Actress,,Lynn Fontanne,12/6/1887,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDcyMGY3Y2MtNDc4ZS00YmU5LWEwMTQtNmY1ZDFiMWRmODBjXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR24,0,214,317_AL_.jpg"
The Private Life of Henry VIII,1932-1933,6th Academy Awards,3/16/34,Best Actor,X,Charles Laughton,7/1/1899,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzOTQ0MTMzNF5BMl5BanBnXkFtZTYwNzkyNjI2._V1_UY317_CR23,0,214,317_AL_.jpg"
Berkeley Square,1932-1933,6th Academy Awards,3/16/34,Best Actor,,Leslie Howard,4/3/1893,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NjM2MTE3Nl5BMl5BanBnXkFtZTYwNjY4NjQ2._V1_UY317_CR4,0,214,317_AL_.jpg"
I am a Fugitive from a Chain Gang,1932-1933,6th Academy Awards,3/16/34,Best Actor,,Paul Muni,9/22/1895,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5ODcxNTg4Nl5BMl5BanBnXkFtZTYwNzE2MjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
Morning Glory,1932-1933,6th Academy Awards,3/16/34,Best Actress,X,Katharine Hepburn,5/12/07,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5NTk4Mjc0OF5BMl5BanBnXkFtZTYwNzI0NDM2._V1_UY317_CR7,0,214,317_AL_.jpg"
Lady for a Day,1932-1933,6th Academy Awards,3/16/34,Best Actress,,May Robson,4/19/1858,75,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3ODU0MTg4MF5BMl5BanBnXkFtZTcwMjU2NzQyOA@@._V1_UY317_CR17,0,214,317_AL_.jpg"
Cavalcade,1932-1933,6th Academy Awards,3/16/34,Best Actress,,Diana Wynyard,1/16/06,28,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzhmMzZiYzQtYjgwYi00NGQ3LWI1ZWMtZWZkYjgxMzZiYjZkXkEyXkFqcGdeQXVyNTk5NzQ5Ng@@._V1_UY317_CR5,0,214,317_AL_.jpg"
It Happened One Night,1934,7th Academy Awards,2/27/35,Best Actor,X,Clark Gable,2/1/01,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NDY5MjM5Ml5BMl5BanBnXkFtZTYwNTU1OTQ2._V1_UY317_CR15,0,214,317_AL_.jpg"
The Affairs of Cellini,1934,7th Academy Awards,2/27/35,Best Actor,,Frank Morgan,6/1/1890,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMTc0MzQ2OV5BMl5BanBnXkFtZTcwMzI5NTkxNA@@._V1_UY317_CR110,0,214,317_AL_.jpg"
The Thin Man,1934,7th Academy Awards,2/27/35,Best Actor,,William Powell,7/29/1892,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MzcxMjExN15BMl5BanBnXkFtZTcwODA2NDQyOA@@._V1_UY317_CR19,0,214,317_AL_.jpg"
It Happened One Night,1934,7th Academy Awards,2/27/35,Best Actress,X,Claudette Colbert,9/13/03,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3MzcwMzQ4NzZeQTJeQWpwZ15BbWU2MDYyOTY0Ng@@._V1_UY317_CR11,0,214,317_AL_.jpg"
One Night of Love,1934,7th Academy Awards,2/27/35,Best Actress,,Grace Moore,12/5/1898,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTQyMDVhZTktZTZkNy00MTU1LThjOTgtYzRlNWIzMzgyZDJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR20,0,214,317_AL_.jpg"
The Barretts of Wimpole Street,1934,7th Academy Awards,2/27/35,Best Actress,,Norma Shearer,8/10/02,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4OTI0MjU5NV5BMl5BanBnXkFtZTYwNjYxNjU2._V1_UY317_CR16,0,214,317_AL_.jpg"
Of Human Bondage,1934,7th Academy Awards,2/27/35,Best Actress,,Bette Davis,4/5/08,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2OTQ4NTU2OF5BMl5BanBnXkFtZTcwMzI3MjY5Ng@@._V1_UY317_CR24,0,214,317_AL_.jpg"
The Informer,1935,8th Academy Awards,3/5/36,Best Actor,X,Victor McLaglen,12/10/1886,49,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNTYxNTcxNF5BMl5BanBnXkFtZTcwMDg1MTMxOA@@._V1_UY317_CR15,0,214,317_AL_.jpg"
Black Fury,1935,8th Academy Awards,3/5/36,Best Actor,,Paul Muni,9/22/1895,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5ODcxNTg4Nl5BMl5BanBnXkFtZTYwNzE2MjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
Mutiny on the Bounty,1935,8th Academy Awards,3/5/36,Best Actor,,Charles Laughton,7/1/1899,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzOTQ0MTMzNF5BMl5BanBnXkFtZTYwNzkyNjI2._V1_UY317_CR23,0,214,317_AL_.jpg"
Mutiny on the Bounty,1935,8th Academy Awards,3/5/36,Best Actor,,Clark Gable,2/1/01,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NDY5MjM5Ml5BMl5BanBnXkFtZTYwNTU1OTQ2._V1_UY317_CR15,0,214,317_AL_.jpg"
Mutiny on the Bounty,1935,8th Academy Awards,3/5/36,Best Actor,,Franchot Tone,2/27/05,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MTE4MDg0MV5BMl5BanBnXkFtZTYwNjI0NDgy._V1_UY317_CR16,0,214,317_AL_.jpg"
Dangerous,1935,8th Academy Awards,3/5/36,Best Actress,X,Bette Davis,4/5/08,27,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2OTQ4NTU2OF5BMl5BanBnXkFtZTcwMzI3MjY5Ng@@._V1_UY317_CR24,0,214,317_AL_.jpg"
Escape Me Never,1935,8th Academy Awards,3/5/36,Best Actress,,Elisabeth Bergner,8/22/1897,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM5NzAzNzExMV5BMl5BanBnXkFtZTgwODQ3MzE1MjE@._V1_UY317_CR21,0,214,317_AL_.jpg"
Becky Sharp,1935,8th Academy Awards,3/5/36,Best Actress,,Miriam Hopkins,10/18/02,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMTI4MzU0MF5BMl5BanBnXkFtZTYwMjY4NjQ2._V1_UY317_CR13,0,214,317_AL_.jpg"
Private Worlds,1935,8th Academy Awards,3/5/36,Best Actress,,Claudette Colbert,9/13/03,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3MzcwMzQ4NzZeQTJeQWpwZ15BbWU2MDYyOTY0Ng@@._V1_UY317_CR11,0,214,317_AL_.jpg"
Alice Adams,1935,8th Academy Awards,3/5/36,Best Actress,,Katharine Hepburn,5/12/07,28,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5NTk4Mjc0OF5BMl5BanBnXkFtZTYwNzI0NDM2._V1_UY317_CR7,0,214,317_AL_.jpg"
The Dark Angel,1935,8th Academy Awards,3/5/36,Best Actress,,Merle Oberon,2/19/11,25,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MDI2ODI0NV5BMl5BanBnXkFtZTYwNDIwNzQ2._V1_UY317_CR8,0,214,317_AL_.jpg"
The Story of Louis Pasteur,1936,9th Academy Awards,3/4/37,Best Actor,X,Paul Muni,9/22/1895,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5ODcxNTg4Nl5BMl5BanBnXkFtZTYwNzE2MjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
Dodsworth,1936,9th Academy Awards,3/4/37,Best Actor,,Walter Huston,4/5/1883,53,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MDMwNjUzOF5BMl5BanBnXkFtZTYwMjk1MjI2._V1_UY317_CR17,0,214,317_AL_.jpg"
My Man Godfrey,1936,9th Academy Awards,3/4/37,Best Actor,,William Powell,7/29/1892,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MzcxMjExN15BMl5BanBnXkFtZTcwODA2NDQyOA@@._V1_UY317_CR19,0,214,317_AL_.jpg"
San Francisco,1936,9th Academy Awards,3/4/37,Best Actor,,Spencer Tracy,4/5/00,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwNjE5NTc0OV5BMl5BanBnXkFtZTYwNDU5ODI2._V1_UY317_CR4,0,214,317_AL_.jpg"
Mr. Deeds Goes to Town,1936,9th Academy Awards,3/4/37,Best Actor,,Gary Cooper,5/7/01,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMjI1MDEyN15BMl5BanBnXkFtZTYwNzkwNjI2._V1_UY317_CR2,0,214,317_AL_.jpg"
The Great Ziegfeld,1936,9th Academy Awards,3/4/37,Best Actress,X,Luise Rainer,1/12/10,27,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTcxMzIzMl5BMl5BanBnXkFtZTYwNjUyNTM2._V1_UY317_CR7,0,214,317_AL_.jpg"
Theodora Goes Wild,1936,9th Academy Awards,3/4/37,Best Actress,,Irene Dunne,12/20/1898,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzA1NTg0NzU2MV5BMl5BanBnXkFtZTYwNjU5OTU2._V1_UY317_CR21,0,214,317_AL_.jpg"
Romeo and Juliet,1936,9th Academy Awards,3/4/37,Best Actress,,Norma Shearer,8/10/02,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4OTI0MjU5NV5BMl5BanBnXkFtZTYwNjYxNjU2._V1_UY317_CR16,0,214,317_AL_.jpg"
Valiant Is the Word for Carrie,1936,9th Academy Awards,3/4/37,Best Actress,,Gladys George,9/13/04,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MjkwNDk0OV5BMl5BanBnXkFtZTgwODU4NDE2MDE@._V1_UY317_CR16,0,214,317_AL_.jpg"
My Man Godfrey,1936,9th Academy Awards,3/4/37,Best Actress,,Carole Lombard,10/6/08,28,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTg5NjI3MDA5Nl5BMl5BanBnXkFtZTcwMzY3OTQ4Mg@@._V1_UY317_CR17,0,214,317_AL_.jpg"
Come and Get It,1936,9th Academy Awards,3/4/37,Best Supporting Actor,X,Walter Brennan,7/25/1894,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNzA5NjE1MF5BMl5BanBnXkFtZTYwMTMxMTM2._V1_UY317_CR17,0,214,317_AL_.jpg"
Romeo and Juliet,1936,9th Academy Awards,3/4/37,Best Supporting Actor,,Basil Rathbone,6/13/1892,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNjkzNzU1NV5BMl5BanBnXkFtZTYwMDM2MjI2._V1_UY317_CR20,0,214,317_AL_.jpg"
The General Died at Dawn,1936,9th Academy Awards,3/4/37,Best Supporting Actor,,Akim Tamiroff,10/29/1899,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NjEyNTEwOV5BMl5BanBnXkFtZTcwMjA2ODkxOA@@._V1_UY317_CR26,0,214,317_AL_.jpg"
Pigskin Parade,1936,9th Academy Awards,3/4/37,Best Supporting Actor,,Stuart Erwin,2/14/03,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NjM3Mjg2NF5BMl5BanBnXkFtZTYwNjE3MjI2._V1_UY317_CR17,0,214,317_AL_.jpg"
My Man Godfrey,1936,9th Academy Awards,3/4/37,Best Supporting Actor,,Mischa Auer,11/17/05,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NjE5OTY4Ml5BMl5BanBnXkFtZTcwODU4MjYwOA@@._V1_UY317_CR22,0,214,317_AL_.jpg"
Anthony Adverse,1936,9th Academy Awards,3/4/37,Best Supporting Actress,X,Gale Sondergaard,2/15/1899,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MDc3MzkyOV5BMl5BanBnXkFtZTYwNjI3MjI2._V1_UY317_CR23,0,214,317_AL_.jpg"
Dodsworth,1936,9th Academy Awards,3/4/37,Best Supporting Actress,,Maria Ouspenskaya,7/29/1876,60,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTAxYjgyNGMtM2U1OC00OWI1LThkNDctMjc5YzNkMTZlMjkwXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_UY317_CR32,0,214,317_AL_.jpg"
